NU_ANO_CENSO;CO_IES;CO_CURSO;NO_IES;NO_CURSO;CO_MUNICIPIO;NO_MUNICIPIO;REGRA;EVIDENCIA;IMPACTO;STATUS
2023;338;1550782;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS;Jogos Digitais;;;ead_concentracao_100_mais;"7 municipios; 2 zerados; 0 valores ausentes; total 107.0; maior 100.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2023;338;1550797;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS;Banco De Dados;;;ead_concentracao_100_mais;"8 municipios; 0 zerados; 0 valores ausentes; total 184.0; maior 167.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2023;338;1575872;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS;Gestão Da Tecnologia Da Informação;;;ead_concentracao_100_mais;"8 municipios; 1 zerados; 0 valores ausentes; total 102.0; maior 94.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2023;386;1491649;CENTRO UNIVERSITÁRIO DE GOIÁS;Análise E Desenvolvimento De Sistemas;;;ead_concentracao_100_mais;"10 municipios; 2 zerados; 0 valores ausentes; total 308.0; maior 284.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2023;387;1550198;UNIVERSIDADE CATÓLICA DOM BOSCO;Análise E Desenvolvimento De Sistemas;;;ead_concentracao_100_mais;"8 municipios; 4 zerados; 0 valores ausentes; total 104.0; maior 100.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2023;621;1524472;CENTRO UNIVERSITÁRIO CESMAC;Análise E Desenvolvimento De Sistemas;;;ead_concentracao_100_mais;"5 municipios; 0 zerados; 0 valores ausentes; total 116.0; maior 106.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2024;1060;1303431;CENTRO UNIVERSITÁRIO DO INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - IESB;Análise E Desenvolvimento De Sistemas;;;ead_concentracao_100_mais;"15 municipios; 3 zerados; 0 valores ausentes; total 1114.0; maior 1050.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2024;1388;1496478;CENTRO UNIVERSITÁRIO SUMARÉ;Análise E Desenvolvimento De Sistemas;;;ead_concentracao_100_mais;"5 municipios; 1 zerados; 0 valores ausentes; total 187.0; maior 184.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2024;1422;1510916;CENTRO UNIVERSITÁRIO DO NORTE;Análise E Desenvolvimento De Sistemas;;;ead_concentracao_100_mais;"6 municipios; 3 zerados; 0 valores ausentes; total 176.0; maior 174.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2024;1491;1517110;CENTRO UNIVERSITÁRIO INTERNACIONAL;Desenvolvimento Mobile;;;ead_concentracao_100_mais;"206 municipios; 143 zerados; 0 valores ausentes; total 100.0; maior 10.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2024;15859;1439413;Faculdade Católica Paulista;Análise E Desenvolvimento De Sistemas;;;ead_concentracao_100_mais;"9 municipios; 5 zerados; 0 valores ausentes; total 203.0; maior 199.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
